,ts_code,name,market,publisher,category,base_date,base_point,list_date
304,h30374.CSI,中国内地全指,CSI,中证指数有限公司,规模指数,20041231,1000.0,20140731
305,h30385.CSI,中国内地全指(USD),CSI,中证指数有限公司,规模指数,20041231,1000.0,20140731
306,h30455.CSI,沪港深500,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
307,h30456.CSI,沪港深通中小,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
308,h30457.CSI,沪港深通综合,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
309,h30488.CSI,沪港深500HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
310,h30489.CSI,沪港深通中小HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
311,h30490.CSI,沪港深通综合HKD,CSI,中证指数有限公司,规模指数,20041231,1000.0,20141128
312,n00009.SH,上证380净收益,SSE,中证指数有限公司,规模指数,20031231,1000.0,20130208
313,n00010.SH,上证180净收益,SSE,中证指数有限公司,规模指数,20020628,3299.06,20130208
